given_same_num_busn,num_busn,proportion
2,3,0.2904586247362185
2,4,0.12734622228332831
2,5,0.0690952157916926
2,6,0.04271535098703784
2,7,0.028495251504531707
2,8,0.02008019985498077
2,9,0.01472584120565632
3,4,0.43843154046115335
3,5,0.2378831609990641
3,6,0.14706174081017567
3,7,0.09810433940603355
3,8,0.0691327374878839
3,9,0.05069858476066831
4,5,0.542577663889903
4,6,0.33542691900197785
4,7,0.2237620480106083
4,8,0.15768194371957897
4,9,0.11563626263599161
5,6,0.6182099657350452
5,7,0.41240556495892333
5,8,0.29061635635552985
5,9,0.21312389051727698
6,7,0.6670962744325505
6,8,0.470093289437659
6,9,0.3447435375194492
7,8,0.7046858264011933
7,9,0.5167822857543269
8,9,0.7333513267799306